,algo,rmse,smape_pct,cat
5,Exponential Smoothing + STL,67.17550439395022,21.363917080873442,Exponential Smoothing
4,Exponential Smoothing,73.15298422937305,21.89580677030178,Exponential Smoothing
6,Exponential Smoothing + Boxcox,73.59169090704236,21.740790810361244,Exponential Smoothing
13,LSTM + STL,76.73216287023212,27.514311981925733,LSTM
1,Time-Series Regression + STL,77.19968526701658,27.67214710886668,Time-Series Regression
10,SARIMA + BOXCOX,79.4240151155617,26.597737474644504,SARIMA
11,Auto ARIMA + Seasonal Diff,83.12439187613597,31.92623996043133,Auto ARIMA
12,LSTM,83.73414187175237,29.853399491688002,LSTM
14,LSTM + Boxcox,84.83323203465545,30.580378048085844,LSTM
8,SARIMA,85.65192160096463,27.33614211519933,SARIMA
2,Time-Series Regression + Boxcox,88.67441892975027,31.035473667891722,Time-Series Regression
0,Time-Series Regression,89.22954185584682,30.749100265466836,Time-Series Regression
3,Time-Series Regression + Seasonal Diff,90.43850505152628,28.289076826672943,Time-Series Regression
9,Auto ARIMA + STL,92.520915631424,28.986917809798967,Auto ARIMA
15,LSTM + Seasonal Diff,113.65255109325744,40.128389250975125,LSTM
7,Exponential Smoothing + Seasonal Diff,4533.139192014161,107.5016470760316,Exponential Smoothing
